id;name;content;points;submission_type;allowed_attempts;published
1;ugh wholly;trick;20099.42;PAPER;15939;false
2;who;absentmindedly collapse;22302.1;ONLINE;12803;true
3;footage gorgeous;near gleefully;20179.28;PAPER;22947;true
4;apropos whether;parched invader;23112.78;ONLINE;10023;true
5;whereas go cheerfully;outwit elderly against;29172.16;PAPER;20553;true
6;although;or;1130.99;PAPER;10248;false
7;categorize;this newsprint as;18989.56;ONLINE;12736;true
8;avaricious disappoint to;equally;20824.53;PAPER;29628;true
9;by parser;duh unionize;19170.09;ONLINE;1006;false
10;ruling;nightclub lest hark;19737.47;ONLINE;96;true
