id;name;description;address;status
1;signature;deadhead greed;below lest without;true
2;scented untried below;fondly;muscle joyfully;true
3;up hilarious;whoa carrot;bear thunderous;false
4;too helpful moist;only;kindheartedly;false
5;compress;duh tremendous;cleverly;false
6;worried hop defenseless;base briefly pheasant;locker;true
7;underneath absent;tenderly harass;finally;false
8;until;astride;amongst bright;false
9;where triumphantly phooey;forswear grant rug;gah duh;true
10;impeccable;curiously;upside-down worrisome identical;false
