id;title;content;date;start_time;end_time;location;address;event_frequency
1;that;proud manner;2024-06-27T04:00:10;24528;991;meanwhile queasily rise;dental insecure;NOREPEAT
2;reboot opposite sediment;triangular overconfidently blah;2024-06-26T20:50:07;12802;6795;well-worn considering;creaking;NOREPEAT
3;swing easily;border window;2024-06-26T12:05:19;2376;5335;remark commandeer after;oh why;NOREPEAT
4;on yeast;up;2024-06-27T02:09:21;32295;22995;times lest;notwithstanding axe;NOREPEAT
5;that woot;bleakly low;2024-06-26T15:28:03;11594;17166;inferior ick likewise;indelible near;NOREPEAT
6;till;calmly grumpy;2024-06-26T16:16:30;17470;10833;oddly;times ill provided;DAILY
7;sheathe those partially;whoever gadzooks;2024-06-26T23:00:16;18464;6304;actual;hm deflect aside;NOREPEAT
8;cheese;offset;2024-06-26T08:15:06;9080;29994;whenever;sideboard duh;NOREPEAT
9;instead;punctually;2024-06-27T05:48:53;2489;19615;whereas;since;NOREPEAT
10;given monthly utterly;fray;2024-06-27T00:26:21;8570;19673;till rebel;brr;DAILY
