id;title;date;time;details
1;pixellate;2024-08-28T13:23:27;though valiantly tame;but unfortunate
2;an queasy unusual;2024-08-28T18:53:01;freezing waltz;until
3;overplay afterwards;2024-08-29T05:08:59;chasuble;past twin
4;striking until the;2024-08-29T00:31:46;vice;eke massage terribly
5;as;2024-08-29T07:20:00;great;save tuxedo
6;outside self-reliant;2024-08-29T07:26:17;sham;aw
7;knitting;2024-08-29T05:52:40;aboard;timely pish
8;although reprimand;2024-08-29T03:20:17;hurtful;garrote
9;unusual;2024-08-28T18:45:39;mid;coolly before yellow
10;upon tut;2024-08-28T20:13:46;puny misfire ostrich;hasty muscat
