id;title;body;set_as_anonymous;only_me;to_all_students;status
1;nauseate who;enraged physically;true;false;true;true
2;underneath duh;whoever regulate swelter;true;false;true;true
3;instead hurtful yowza;commonly;false;false;true;true
4;notwithstanding;abaft formamide;false;true;true;false
5;godparent larva before;after;true;false;false;true
6;skeleton;ack finally quizzically;false;true;false;true
7;which whoever than;ick;true;true;true;true
8;closed;perky boohoo;true;true;true;false
9;meanwhile mortar;meal geez cautiously;false;true;false;false
10;potable whereas;oh;true;true;false;false
