id;course_name;course_code;course_image_path;course_start_date;course_end_date;course_format;published;self_enrollment;self_enrollment_code;storage_quota;status
1;accessorise mousse;ack boom nor;seriously gah;2024-06-26T08:05:51;2024-06-26T16:56:40;that whose stale;true;true;truthfully whoever carelessly;14249;true
2;inasmuch usable;appertain farm;meh advertisement;2024-06-26T11:08:27;2024-06-26T21:46:04;than;false;true;whitewash edge;21523;true
3;scratchy informal common;aha solution clearly;roadway exaggerate unbearably;2024-06-27T04:10:18;2024-06-26T22:36:58;boohoo lieu;true;true;across wafer swill;11691;false
4;thankfully;abnormally;via;2024-06-26T06:25:12;2024-06-26T12:06:32;bitterly worriedly;false;false;seemingly anxiously coolly;12225;false
5;poor;midst;pike pine;2024-06-27T04:23:05;2024-06-26T10:05:02;for;false;true;suddenly hm;18397;true
6;phew optimistically deserted;and;impeccable;2024-06-26T21:23:55;2024-06-26T19:55:09;sometimes exalted knitting;false;true;valuable;29203;true
7;tabulate willing;frequent;edge whoa furthermore;2024-06-26T08:01:58;2024-06-26T16:42:50;playfully;true;true;why pleasure less;28728;true
8;nerve throughout hmph;psst;suddenly poor independence;2024-06-27T00:41:45;2024-06-26T11:20:20;pharmacopoeia eek ribbon;true;true;pull acquire;16654;false
9;above pant;restfully conceal large;approach;2024-06-26T13:23:33;2024-06-26T22:18:24;ceramic kissingly aha;true;true;seriously;19368;true
10;signature fooey the;scarily;essay;2024-06-26T22:46:25;2024-06-27T00:24:11;each psst;true;false;slowly clear alarmed;6966;false
