id;enrollment_status;last_activity_at;enrollment_date
1;ACTIVE;2024-06-26T12:05:48;2024-06-26T06:59:00
2;REJECTED;2024-06-27T00:56:06;2024-06-26T10:51:01
3;PENDING;2024-06-26T14:25:57;2024-06-27T05:07:06
4;ACTIVE;2024-06-27T02:48:00;2024-06-26T22:44:29
5;REJECTED;2024-06-26T21:56:42;2024-06-26T23:32:13
6;ACTIVE;2024-06-26T17:34:41;2024-06-26T09:08:46
7;ACTIVE;2024-06-26T20:43:40;2024-06-26T06:25:49
8;PENDING;2024-06-26T11:02:04;2024-06-27T04:30:28
9;PENDING;2024-06-26T06:53:11;2024-06-26T18:02:15
10;REJECTED;2024-06-26T17:21:36;2024-06-27T03:49:25
