id;lesson_title;start_plan_date;actual_lesson_date;lesson_type;video_url
1;regarding;2024-06-27T01:33:15;2024-06-26T15:27:36;Lab;under
2;where past apud;2024-06-26T12:36:09;2024-06-26T15:15:22;Seminar;awful while
3;beautifully energetically;2024-06-27T02:13:24;2024-06-26T11:53:12;Seminar;mean
4;miscalculate cantaloupe denitrify;2024-06-26T17:56:45;2024-06-26T09:52:12;Practice;direct woeful within
5;expansion whoa;2024-06-26T09:50:59;2024-06-26T17:01:41;Lecture;hopeful so of
6;grizzled pricey playfully;2024-06-26T20:17:52;2024-06-27T04:34:27;Practice;soft anenst lay
7;instantly;2024-06-27T01:45:53;2024-06-27T01:48:19;Lab;unless um lady
8;abaft;2024-06-26T13:04:44;2024-06-26T19:53:27;Lab;armchair
9;within incidentally solemnly;2024-06-26T21:59:24;2024-06-27T00:08:44;Lab;once
10;lest;2024-06-26T07:05:53;2024-06-26T08:28:29;Lecture;pomelo quickly to
