id;subject;body;to_all_course_students;to_section_ids;sender_date;deleted
1;microchip;bookcase;true;beyond;2024-10-02T04:58:13;true
2;yet;sesame;false;minus but;2024-10-02T04:28:06;false
3;coolly;sushi;true;stale after;2024-10-02T02:19:03;true
4;scarcely beside geez;whoa syringe;false;across;2024-10-01T11:05:29;false
5;scarcely shabby;that psst and;false;above;2024-10-01T16:32:31;true
6;psst catalyze provided;ick huzzah phooey;false;diligently hence almost;2024-10-01T06:44:37;false
7;tomography charter boo;bah;false;reward never;2024-10-01T20:03:39;true
8;knavishly nauseate;hole;true;nerve reprove;2024-10-01T08:29:54;false
9;eek youthfully supposing;pale without yuck;false;disappointment whereas yahoo;2024-10-01T07:37:50;true
10;insistent;however impossible;false;whoa past compromise;2024-10-01T16:21:22;false
