id;message;read_date;read;notification_type
1;seldom of defiantly;2024-07-30T14:19:53;false;ASSIGNMENT
2;peony onset hence;2024-07-31T01:21:41;false;SUBMISSION_ASSIGNMENT
3;deflect handful incidentally;2024-07-30T16:34:16;false;ASSIGNMENT
4;fooey ah;2024-07-30T23:59:39;true;SUBMISSION_ASSIGNMENT
5;yahoo athletic gripper;2024-07-30T21:54:36;false;QUIZ
6;yahoo;2024-07-30T15:19:49;true;QUIZ
7;whereas than abaft;2024-07-31T03:07:20;true;ASSIGNMENT
8;definite;2024-07-31T05:33:43;true;ASSIGNMENT
9;gah why phew;2024-07-30T12:01:42;false;QUIZ
10;gloom penalise thoughtfully;2024-07-30T09:48:34;true;SUBMISSION_ASSIGNMENT
