id;start_time;end_time;quiz_session_enum
1;2024-06-26T21:19:20;2024-06-26T15:09:21;FINISHED
2;2024-06-26T19:30:40;2024-06-26T10:24:26;FINISHED
3;2024-06-26T19:21:00;2024-06-26T06:46:05;FINISHED
4;2024-06-26T17:33:12;2024-06-27T02:15:15;IN_PROGRESS
5;2024-06-26T22:17:37;2024-06-26T11:02:52;FINISHED
6;2024-06-26T17:34:37;2024-06-26T12:03:27;FINISHED
7;2024-06-26T16:07:31;2024-06-27T01:41:43;IN_PROGRESS
8;2024-06-26T09:13:14;2024-06-26T15:53:32;IN_PROGRESS
9;2024-06-26T21:47:34;2024-06-27T05:22:22;IN_PROGRESS
10;2024-06-26T13:19:11;2024-06-26T19:43:52;IN_PROGRESS
