id;term_name;start_date;end_date;status
1;confound;2024-06-28T03:55:08;2024-06-27T19:24:33;true
2;keel;2024-06-28T00:04:50;2024-06-28T07:20:18;false
3;coil;2024-06-28T02:32:18;2024-06-27T20:30:51;true
4;indelible though whoever;2024-06-28T12:28:52;2024-06-28T07:32:28;true
5;offensively decent whose;2024-06-28T11:15:11;2024-06-28T08:49:38;false
6;really airport;2024-06-28T10:04:13;2024-06-28T04:04:23;false
7;embossing boyfriend satirise;2024-06-27T16:47:09;2024-06-27T20:28:57;false
8;apropos ultimately founder;2024-06-28T02:26:34;2024-06-28T03:34:46;false
9;manage;2024-06-28T05:00:32;2024-06-28T07:05:23;false
10;gloom;2024-06-27T17:25:36;2024-06-28T00:31:22;false
