id;title;content;who_allowed;add_to_students;add_to_students_date;published_at;published;notify_users_changes
1;equal;afore;ANYONE;false;2024-06-26T11:22:32;2024-06-26T13:21:13;false;false
2;boohoo admirable silently;reconnoitre except whose;ANYONE;true;2024-06-26T08:52:34;2024-06-27T00:06:37;false;false
3;meanwhile readjust meaningfully;although robust;ANYONE;false;2024-06-26T19:18:20;2024-06-26T23:30:20;true;false
4;cabinet broom;um still;ONLY_TEACHERS;true;2024-06-26T09:30:31;2024-06-26T06:49:48;true;false
5;after;corruption foolish keenly;ONLY_TEACHERS;false;2024-06-26T07:27:02;2024-06-26T10:18:49;false;true
6;horse;redesign tusk noisily;TEACHER_AND_STUDENTS;false;2024-06-26T11:47:01;2024-06-26T13:51:26;true;false
7;mask;oof boohoo pfft;ANYONE;false;2024-06-26T09:30:21;2024-06-27T02:46:43;false;false
8;until;at concrete once;TEACHER_AND_STUDENTS;false;2024-06-27T04:07:47;2024-06-26T20:09:04;true;false
9;content;gurgle notwithstanding via;ANYONE;false;2024-06-26T18:04:07;2024-06-26T11:09:17;true;true
10;psst piercing zowie;commit;ANYONE;true;2024-06-27T00:20:10;2024-06-27T02:06:46;false;true
